ORDER_ID,INVOICE_DATE,YEAR,MONTH,PRODUCT_NAME,PRICE_PER_UNIT,UNITS_SOLD,SALES_DOLLARS,OPERATING_MARGIN,SALES_METHOD,RETAILER,REGION,STATE,CITY
1,2020-01-01,2020,1,Men's Street Footwear,50.0,1200.0,60000.0,0.5,In-store,Amazon,Midwest,Ohio,Columbus
7,2020-01-07,2020,1,Men's Street Footwear,50.0,1250.0,62500.0,0.5,In-store,Amazon,Midwest,Ohio,Columbus
13,2020-01-25,2020,1,Men's Street Footwear,50.0,1220.0,61000.0,0.5,Outlet,Amazon,Midwest,Ohio,Columbus
19,2020-01-31,2020,1,Men's Street Footwear,50.0,1200.0,60000.0,0.5,Outlet,Amazon,Midwest,Ohio,Columbus
25,2020-02-06,2020,2,Men's Street Footwear,60.0,1220.0,73200.0,0.5,Outlet,Amazon,Midwest,Ohio,Columbus
31,2020-03-04,2020,3,Men's Street Footwear,60.0,1250.0,75000.0,0.5,Outlet,Amazon,Midwest,Ohio,Columbus
37,2020-03-10,2020,3,Men's Street Footwear,60.0,1275.0,76500.0,0.5,Outlet,Amazon,Midwest,Ohio,Columbus
43,2020-03-16,2020,3,Men's Street Footwear,60.0,1250.0,75000.0,0.5,Outlet,Amazon,Midwest,Ohio,Columbus
49,2020-04-19,2020,4,Men's Street Footwear,60.0,1200.0,72000.0,0.5,Outlet,Amazon,Midwest,Ohio,Columbus
57,2020-04-27,2020,4,Men's Street Footwear,65.0,1150.0,74750.0,0.5,Outlet,Amazon,Midwest,Ohio,Columbus
63,2020-05-03,2020,5,Men's Street Footwear,65.0,1200.0,78000.0,0.5,Outlet,Amazon,Midwest,Ohio,Columbus
69,2020-07-19,2020,7,Men's Street Footwear,25.0,900.0,22500.0,0.35,Outlet,Amazon,Midwest,Ohio,Columbus
75,2020-07-25,2020,7,Men's Street Footwear,25.0,850.0,21250.0,0.35,Outlet,Amazon,Midwest,Ohio,Columbus
81,2020-07-31,2020,7,Men's Street Footwear,30.0,875.0,26250.0,0.35,Outlet,Amazon,Midwest,Ohio,Columbus
87,2020-08-06,2020,8,Men's Street Footwear,30.0,900.0,27000.0,0.35,Outlet,Amazon,Midwest,Ohio,Columbus
93,2020-08-12,2020,8,Men's Street Footwear,30.0,925.0,27750.0,0.35,Outlet,Amazon,Midwest,Ohio,Columbus
99,2020-08-18,2020,8,Men's Street Footwear,40.0,950.0,38000.0,0.35,Outlet,Amazon,Midwest,Ohio,Columbus
105,2020-08-24,2020,8,Men's Street Footwear,40.0,950.0,38000.0,0.35,Outlet,Amazon,Midwest,Ohio,Columbus
111,2020-08-30,2020,8,Men's Street Footwear,40.0,925.0,37000.0,0.35,Outlet,Amazon,Midwest,Ohio,Columbus
117,2020-09-05,2020,9,Men's Street Footwear,45.0,850.0,38250.0,0.35,Outlet,Amazon,Midwest,Ohio,Columbus
123,2020-09-11,2020,9,Men's Street Footwear,45.0,800.0,36000.0,0.35,Outlet,Amazon,Midwest,Ohio,Columbus
129,2020-10-20,2020,10,Men's Street Footwear,45.0,900.0,40500.0,0.35,Outlet,Amazon,Midwest,Ohio,Columbus
135,2020-10-26,2020,10,Men's Street Footwear,45.0,950.0,42750.0,0.35,Outlet,Amazon,Midwest,Ohio,Columbus
141,2020-11-01,2020,11,Men's Street Footwear,40.0,775.0,31000.0,0.35,Outlet,Amazon,Northeast,Maine,Portland
147,2020-11-07,2020,11,Men's Street Footwear,40.0,825.0,33000.0,0.35,Outlet,Amazon,Northeast,Maine,Portland
153,2020-11-13,2020,11,Men's Street Footwear,50.0,850.0,42500.0,0.35,Outlet,Amazon,Northeast,Maine,Portland
159,2020-12-25,2020,12,Men's Street Footwear,60.0,875.0,52500.0,0.35,Outlet,Amazon,Northeast,Maine,Portland
165,2020-12-31,2020,12,Men's Street Footwear,60.0,900.0,54000.0,0.4,Outlet,Amazon,Northeast,Maine,Portland
171,2021-01-06,2021,1,Men's Street Footwear,60.0,975.0,58500.0,0.4,Outlet,Amazon,Northeast,Maine,Portland
177,2021-01-12,2021,1,Men's Street Footwear,60.0,1025.0,61500.0,0.35,Outlet,Amazon,Northeast,Maine,Portland
183,2021-01-18,2021,1,Men's Street Footwear,65.0,975.0,63375.0,0.35,Outlet,Amazon,Northeast,Maine,Portland
189,2021-01-24,2021,1,Men's Street Footwear,55.0,925.0,50875.0,0.3,Outlet,Amazon,Northeast,Maine,Portland
195,2021-01-30,2021,1,Men's Street Footwear,55.0,875.0,48125.0,0.3,Outlet,Amazon,Northeast,Maine,Portland
201,2021-02-05,2021,2,Men's Street Footwear,55.0,875.0,48125.0,0.3,Outlet,Amazon,Northeast,Maine,Portland
207,2021-02-11,2021,2,Men's Street Footwear,55.0,975.0,53625.0,0.3,Outlet,Amazon,Northeast,Maine,Portland
213,2021-02-17,2021,2,Men's Street Footwear,35.0,700.0,24500.0,0.4,Outlet,Amazon,Northeast,Maine,Portland
219,2021-03-13,2021,3,Men's Street Footwear,35.0,750.0,26250.0,0.4,Outlet,Amazon,Northeast,Maine,Portland
225,2021-03-19,2021,3,Men's Street Footwear,35.0,800.0,28000.0,0.4,Outlet,Amazon,Northeast,Maine,Portland
231,2021-04-07,2021,4,Men's Street Footwear,45.0,800.0,36000.0,0.4,Outlet,Amazon,Northeast,Maine,Portland
237,2021-04-13,2021,4,Men's Street Footwear,45.0,800.0,36000.0,0.4,Outlet,Amazon,Northeast,Maine,Portland
243,2021-04-19,2021,4,Men's Street Footwear,45.0,900.0,40500.0,0.4,Outlet,Amazon,Northeast,Maine,Portland
249,2021-04-25,2021,4,Men's Street Footwear,45.0,950.0,42750.0,0.4,Outlet,Amazon,Northeast,Maine,Portland
255,2021-05-01,2021,5,Men's Street Footwear,50.0,900.0,45000.0,0.4,Outlet,Amazon,Northeast,Maine,Portland
261,2021-05-07,2021,5,Men's Street Footwear,50.0,850.0,42500.0,0.4,Outlet,Amazon,Northeast,Maine,Portland
267,2021-05-13,2021,5,Men's Street Footwear,50.0,800.0,40000.0,0.4,Outlet,Amazon,Northeast,Maine,Portland
273,2021-05-19,2021,5,Men's Street Footwear,50.0,825.0,41250.0,0.4,Outlet,Amazon,Northeast,Massachusetts,Boston
279,2021-05-25,2021,5,Men's Street Footwear,50.0,900.0,45000.0,0.4,Outlet,Amazon,Northeast,Massachusetts,Boston
285,2021-05-31,2021,5,Men's Street Footwear,45.0,475.0,21375.0,0.4,Outlet,Amazon,Northeast,Massachusetts,Boston
291,2021-06-06,2021,6,Men's Street Footwear,45.0,525.0,23625.0,0.4,Outlet,Amazon,Northeast,Massachusetts,Boston
297,2021-06-12,2021,6,Men's Street Footwear,50.0,495.0,24750.0,0.4,Outlet,Amazon,Northeast,Massachusetts,Boston
303,2021-06-18,2021,6,Men's Street Footwear,50.0,450.0,22500.0,0.4,Outlet,Amazon,Northeast,Massachusetts,Boston
309,2021-06-24,2021,6,Men's Street Footwear,60.0,495.0,29700.0,0.4,Outlet,Amazon,Northeast,Massachusetts,Boston
315,2021-06-30,2021,6,Men's Street Footwear,50.0,500.0,25000.0,0.4,Outlet,Amazon,Northeast,Massachusetts,Boston
321,2021-07-06,2021,7,Men's Street Footwear,50.0,575.0,28750.0,0.4,Outlet,Amazon,Northeast,Massachusetts,Boston
327,2021-07-12,2021,7,Men's Street Footwear,50.0,550.0,27500.0,0.4,Outlet,Amazon,Northeast,Massachusetts,Boston
333,2021-07-18,2021,7,Men's Street Footwear,50.0,500.0,25000.0,0.4,Outlet,Amazon,Northeast,Massachusetts,Boston
339,2021-07-24,2021,7,Men's Street Footwear,60.0,425.0,25500.0,0.4,Outlet,Amazon,Northeast,New Hampshire,Manchester
345,2021-07-30,2021,7,Men's Street Footwear,60.0,400.0,24000.0,0.4,Outlet,Amazon,Northeast,New Hampshire,Manchester
351,2021-08-05,2021,8,Men's Street Footwear,60.0,500.0,30000.0,0.4,Outlet,Amazon,Northeast,New Hampshire,Manchester
357,2021-08-11,2021,8,Men's Street Footwear,20.0,725.0,14500.0,0.3,Outlet,Amazon,Northeast,New Hampshire,Manchester
363,2021-08-17,2021,8,Men's Street Footwear,25.0,675.0,16875.0,0.3,Outlet,Amazon,Northeast,New Hampshire,Manchester
369,2021-08-23,2021,8,Men's Street Footwear,30.0,675.0,20250.0,0.35,Outlet,Amazon,Northeast,New Hampshire,Manchester
375,2021-08-29,2021,8,Men's Street Footwear,20.0,700.0,14000.0,0.35,Outlet,Amazon,Northeast,New Hampshire,Manchester
381,2021-09-04,2021,9,Men's Street Footwear,20.0,750.0,15000.0,0.35,Outlet,Amazon,Northeast,New Hampshire,Manchester
387,2021-09-10,2021,9,Men's Street Footwear,45.0,800.0,36000.0,0.35,Outlet,Amazon,Northeast,New Hampshire,Manchester
393,2021-09-16,2021,9,Men's Street Footwear,45.0,825.0,37125.0,0.4,Outlet,Amazon,Northeast,New Hampshire,Manchester
399,2021-09-22,2021,9,Men's Street Footwear,50.0,800.0,40000.0,0.4,Outlet,Amazon,Northeast,New Hampshire,Manchester
405,2021-09-28,2021,9,Men's Street Footwear,55.0,725.0,39875.0,0.4,Outlet,Amazon,Northeast,New Hampshire,Manchester
411,2021-10-04,2021,10,Men's Street Footwear,40.0,625.0,25000.0,0.4,Outlet,Amazon,Northeast,New Hampshire,Manchester
417,2021-10-10,2021,10,Men's Street Footwear,40.0,725.0,29000.0,0.4,Outlet,Amazon,Northeast,New Hampshire,Manchester
423,2021-10-16,2021,10,Men's Street Footwear,60.0,825.0,49500.0,0.4,Outlet,Amazon,Northeast,New Hampshire,Manchester
429,2021-10-22,2021,10,Men's Street Footwear,45.0,425.0,19125.0,0.55,Outlet,Amazon,Northeast,New Hampshire,Manchester
435,2021-10-28,2021,10,Men's Street Footwear,45.0,475.0,21375.0,0.55,Outlet,Amazon,Northeast,New Hampshire,Manchester
441,2021-11-03,2021,11,Men's Street Footwear,50.0,445.0,22250.0,0.55,Outlet,Amazon,Northeast,New Hampshire,Manchester
447,2021-11-09,2021,11,Men's Street Footwear,50.0,450.0,22500.0,0.5,Outlet,Amazon,Northeast,New Hampshire,Manchester
453,2021-11-15,2021,11,Men's Street Footwear,60.0,470.0,28200.0,0.5,Outlet,Amazon,Northeast,New Hampshire,Manchester
459,2021-11-21,2021,11,Men's Street Footwear,65.0,500.0,32500.0,0.55,Outlet,Amazon,Northeast,New Hampshire,Manchester
465,2021-11-27,2021,11,Men's Street Footwear,65.0,500.0,32500.0,0.55,Outlet,Amazon,Northeast,New Hampshire,Manchester
471,2021-12-03,2021,12,Men's Street Footwear,65.0,525.0,34125.0,0.55,Outlet,Amazon,Northeast,New Hampshire,Manchester
477,2021-12-09,2021,12,Men's Street Footwear,65.0,475.0,30875.0,0.5,Outlet,Amazon,Northeast,Vermont,Burlington
483,2021-12-15,2021,12,Men's Street Footwear,60.0,400.0,24000.0,0.5,Outlet,Amazon,Northeast,Vermont,Burlington
489,2021-12-21,2021,12,Men's Street Footwear,70.0,375.0,26250.0,0.55,Outlet,Amazon,Northeast,Vermont,Burlington
495,2021-12-27,2021,12,Men's Street Footwear,70.0,475.0,33250.0,0.55,Outlet,Amazon,Northeast,Vermont,Burlington
501,2020-01-02,2020,1,Men's Street Footwear,35.0,450.0,15750.0,0.4,Outlet,Amazon,Northeast,Vermont,Burlington
507,2020-01-08,2020,1,Men's Street Footwear,35.0,525.0,18375.0,0.4,Outlet,Amazon,Northeast,Vermont,Burlington
513,2020-01-14,2020,1,Men's Street Footwear,45.0,550.0,24750.0,0.4,Outlet,Amazon,Northeast,Vermont,Burlington
519,2020-01-20,2020,1,Men's Street Footwear,60.0,550.0,33000.0,0.4,Outlet,Amazon,Northeast,Vermont,Burlington
525,2020-01-26,2020,1,Men's Street Footwear,60.0,550.0,33000.0,0.45,Outlet,Amazon,Northeast,Vermont,Burlington
531,2020-02-01,2020,2,Men's Street Footwear,60.0,700.0,42000.0,0.45,Outlet,Amazon,Northeast,Vermont,Burlington
537,2020-02-07,2020,2,Men's Street Footwear,60.0,750.0,45000.0,0.4,Outlet,Amazon,Northeast,Vermont,Burlington
543,2020-02-13,2020,2,Men's Street Footwear,65.0,700.0,45500.0,0.4,In-store,Amazon,Northeast,Vermont,Burlington
549,2020-02-19,2020,2,Men's Street Footwear,60.0,600.0,36000.0,0.35,In-store,Amazon,Northeast,Vermont,Burlington
555,2020-02-25,2020,2,Men's Street Footwear,60.0,550.0,33000.0,0.35,In-store,Amazon,Northeast,Vermont,Burlington
561,2020-03-03,2020,3,Men's Street Footwear,60.0,575.0,34500.0,0.35,In-store,Amazon,Northeast,Vermont,Burlington
567,2020-03-09,2020,3,Men's Street Footwear,60.0,675.0,40500.0,0.35,In-store,Amazon,Northeast,Vermont,Burlington
573,2020-03-15,2020,3,Men's Street Footwear,30.0,425.0,12750.0,0.35,In-store,Amazon,Northeast,Vermont,Burlington
579,2020-03-21,2020,3,Men's Street Footwear,30.0,525.0,15750.0,0.35,In-store,Amazon,Northeast,Vermont,Burlington
585,2020-03-27,2020,3,Men's Street Footwear,40.0,550.0,22000.0,0.35,In-store,Amazon,Northeast,Vermont,Burlington
591,2020-04-02,2020,4,Men's Street Footwear,,525.0,,0.35,In-store,Amazon,Northeast,Vermont,Burlington
597,2020-04-08,2020,4,Men's Street Footwear,,525.0,,0.5,In-store,Amazon,Northeast,Vermont,Burlington
603,2020-04-14,2020,4,Men's Street Footwear,60.0,725.0,43500.0,0.5,In-store,Amazon,Northeast,Vermont,Burlington
609,2020-04-20,2020,4,Men's Street Footwear,65.0,775.0,50375.0,0.45,In-store,Amazon,Northeast,Vermont,Burlington
615,2020-04-26,2020,4,Men's Street Footwear,70.0,725.0,50750.0,0.45,In-store,Amazon,Northeast,Vermont,Burlington
621,2020-05-02,2020,5,Men's Street Footwear,65.0,600.0,39000.0,0.4,In-store,Amazon,Northeast,Vermont,Burlington
627,2020-05-08,2020,5,Men's Street Footwear,55.0,525.0,28875.0,0.4,In-store,Amazon,Northeast,Vermont,Burlington
633,2020-05-14,2020,5,Men's Street Footwear,55.0,575.0,31625.0,0.4,In-store,Amazon,Northeast,Vermont,Burlington
